researcher,institution,pid,sub_areas
Horacio Hideki Yanasse,UNIFESP,42/2992,['or']
Hudson Borges,UFMS,119/0140,['se']
Humberto Marques,PUC Minas,49/2329,['ir']
Humberto Rezente,UFU,86/470,"['cse', 'dbis']"
Hyggo Almeida,UFCG,76/859,"['data', 'se']"
Ig Ibert Bittencourt,UFAL,11/2860,['ai']
Igor Machado Coelho,UERJ,89/8466,"['arch', 'or']"
Igor Wiese,UTFPR,06/10439,"['chi', 'se']"
Ingrid Oliveira,UFRGS,48/5352,"['net', 'se']"
Isabel Rosseti,UFF,42/6628,"['ds', 'or']"
Isabela Gasparini,UDESC,83/667,"['ai', 'chi']"
Italo Cunha,UFMG,80/186,"['graphics', 'net']"
Ivan Machado,UFBA,33/9369,['se']
Jacir Bordim,UnB,23/5009,"['ds', 'net']"
Jacques Wainer,UNICAMP,73/4164,"['ai', 'data']"
Jaelson Castro,UFPE,c/JBdCastro,['se']
Jairo Panetta,ITA,39/5694,['arch']
Jamilson Dantas,UFPE,123/2647,['arch']
Janio Carlos Nascimento Silva,IFTO,273/2402,"['or', 'theory']"
Javam Machado,UFC,12/3896,"['dbis', 'ds', 'hardware']"
Jayme Szwarcfiter,COPPE/UFRJ,74/1053,"['or', 'theory']"
Jean Martina,UFSC,24/765,['ir']
Jeferson Campos Nobre,UFRGS,78/7495,"['ai', 'ir', 'net']"
Jefersson dos Santos,UFMG,53/900,"['data', 'graphics', 'vision']"
Jefferson Magalhaes,UFPA,88/2496,['graphics']
Jefferson Souza,UFU,72/7359,['graphics']
Jessyka Vilela,UFPE,132/6555,['se']
Jo Ueyama,ICMC/USP,68/1201,"['ai', 'arch', 'graphics', 'net']"
Joao Bertini,FT/UNICAMP,25/2752,['ai']
Joao Comba,UFRGS,c/JoaoLuizDihlComba,"['ai', 'arch', 'dbis', 'graphics']"
Joao Eduardo Ferreira,IME/USP,69/279,"['dbis', 'ds', 'graphics', 'ir', 'or']"
Joao Fabro,UTFPR,02/6407,['robotics']
Joao Luis Garcia Rosa,ICMC/USP,11/3835,['ai']
Joao Meidanis,UNICAMP,/m/JoaoMeidanis,['bio']
Joao Paixao,DCC/UFRJ,60/10141,['formal']
Joao Paulo Almeida,UFES,91/3408,"['dbis', 'se']"
Joao Paulo Gois,UFABC,61/6783,"['bio', 'graphics', 'vision']"
Joao Paulo Papa,UNESP,96/3441,"['ai', 'data', 'graphics', 'vision']"
Joao Paulo Pordeus Gomes,UFC,163/4376,"['ai', 'data', 'hardware', 'se']"
Joao Paulo Silva do Monte Lima,UFRPE,139/8825,"['ai', 'graphics', 'vision']"
Joaquim Cavalcante,UFC,66/895,['graphics']
Joel Luis Carbonera,UFRGS,121/5033,"['ai', 'dbis', 'robotics']"
Joel Rodrigues,Inatel,25/3419,"['ai', 'arch', 'ds', 'graphics', 'ir', 'net', 'se', 'security']"
Johnny Marques,ITA,128/9841,['se']
Jomi Hubner,UFSC,h/JomiFredHubner,['ai']
Jonatas Wehrmann, PUC-Rio,189/4618,['ai']
Jonathan de Andrade Silva,UFMS,31/1395,['ai']
Jonice Oliveira,DCC/UFRJ,o/JoniceOliveira,"['ai', 'net']"
Jorge Luis Victoria Barbosa,Unisinos,72/3050,"['ai', 'chi', 'robotics', 'se']"
Jose Alfredo Ferreira Costa,UFRN,51/4829,['ai']
Jose Antonio Fernandes de Macedo,UFC,f/JAFernandesdeMacedo,"['ai', 'data', 'dbis']"
Jose Carlos Maldonado,ICMC/USP,28/2292,"['ds', 'se']"
Jose Fernando Rodrigues Junior,ICMC/USP,r/JoseFernandoRodriguesJr,"['data', 'ir', 'vision']"
Jose Ferreira de Rezende,COPPE/UFRJ,r/JoseFerreiradeRezende,['net']
Jose Gustavo Paiva,UFU,40/10398,['graphics']
Jose Luis Guntzel,UFSC,04/3287,['hardware']
Jose Marcos Nogueira,UFMG,n/JoseMarcosSNogueira,"['ai', 'net']"
Jose Maria David,UFJF,63/4089,"['ds', 'se']"
Jose Maria Monteiro,UFC,92/1818,['ai']
Jose Neuman de Souza,UFC,02/4334,['net']
Jose Palazzo de Oliveira,UFRGS,o/JosePalazzoMoreiradeOliveira,"['ai', 'dbis']"
Jose Rodrigo Azambuja,UFRGS,21/1296,"['arch', 'net']"
Jose Suruagy Monteiro,UFPE,76/2855,['net']
Jose Viterbo,UFF,15/374,"['chi', 'dbis', 'vision']"
Juan Colonna,UFAM,118/5111,['bio']
Judith Kelner,UFPE,10/1554,"['ai', 'arch', 'ds', 'graphics', 'net', 'robotics']"
Juliana Alves Pereira,PUC-Rio,139/6642,"['arch', 'se']"
Juliano Iyoda,UFPE,72/4526,"['formal', 'pl']"
Juliano Wickboldt,UFRGS,71/7494,['net']
Julio Cesar Nievola,PUCPR,62/6863,['ai']
Julio Cesar Stacchini de Souza,UFF,184/9658,['arch']
Julio Cezar Estrella,ICMC/USP,19/3166,"['ai', 'ds']"
Julio Dos Reis,UNICAMP,71/7193,"['ai', 'chi']"
Julio Leite,PUC-Rio,l/JCSdoPradoLeite,['se']
Jurandy Almeida,UFSCar,30/2806,"['graphics', 'vision']"
Jussara Almeida,UFMG,34/5480,"['arch', 'dbis', 'graphics', 'ir']"
Kalinka Castelo Branco,ICMC/USP,05/5676,['robotics']
Kamila Rodrigues,ICMC/USP,135/0936,['chi']
Karin Becker,UFRGS,00/3080,"['ai', 'ir']"
Karina Valdivia Delgado,IME/USP,30/6146,"['ai', 'data', 'ir']"
Kate Revoredo,UNIRIO,67/1904,"['dbis', 'se']"
Katia Romero Felizardo,UTFPR,53/8384,"['chi', 'se']"
Kecia Ferreira,CEFET-MG,121/2557,['se']
Kelen Vivaldini,UFSCar,48/9968,"['ai', 'robotics']"
Kelvin Lopes Dias,UFPE,09/4470,"['arch', 'ds', 'net']"
Kiev Gama,UFPE,46/3866,"['chi', 'cse', 'se']"
Kleinner Farias,Unisinos,49/7937,"['ai', 'arch', 'chi', 'se']"
Laercio Pilla,UFSC,75/2582,"['arch', 'ds', 'hardware']"
Lasaro Camargos,UFU,54/1243,['security']
Laura Bahiense,COPPE/UFRJ,21/2237,"['ai', 'or']"
Leandro Balby Marinho,UFCG,59/4973,"['chi', 'dbis', 'ir']"
Leandro Dias da Silva,UFAL,00/2389,"['arch', 'se']"
Leandro Fernandes,UFF,48/5542,"['ai', 'graphics', 'vision']"
Leandro Marzulo,UERJ,61/997,"['arch', 'ds']"
Leandro Silva Galvao de Carvalho,UFAM,48/91,['cse']
Leandro Villas,UNICAMP,64/7382,"['ai', 'arch', 'ds', 'net']"
Lehilton Pedrosa,UNICAMP,117/0708,"['or', 'theory']"
Leila Ribeiro,UFRGS,r/LeilaRibeiro,"['cse', 'formal', 'theory']"
Leliane Nunes de Barros,IME/USP,51/6275,['ai']
Leobino Sampaio,UFBA,56/3926,"['net', 'se']"
Leonardo Barbosa Oliveira,UFMG,22/175,"['data', 'net', 'security']"
Leonardo Cunha de Miranda,UFRN,78/137,['chi']
Leonardo Fernandes,IFAL,207/7225,['se']
Leonardo Montecchi,UNICAMP,30/2196,"['ds', 'se']"
Leonardo Murta,UFF,25/3645,"['ai', 'dbis', 'se']"
Leonardo Ramos Emmendorfer,FURG,91/29,['ai']
Leonardo da Rocha,UFSJ,89/1792,"['ai', 'dbis', 'ir']"
Leopoldo Teixeira,UFPE,62/8372,['se']
Leticia Peres,UFPR,72/593,['dbis']
Leticia Rittner,FEEC/UNICAMP,36/2977,['graphics']
Leticia dos Santos Machado,UFRGS,145/7688,"['chi', 'se']"
Levi Lelis,UFV,82/7788,"['ai', 'data']"
Li Weigang,UnB,l/WeigangLi,"['ai', 'arch', 'graphics', 'net']"
Lilian Berton,UNIFESP,48/8572,"['ai', 'data', 'vision']"
Lina Garces,UNIFEI,165/9276,['se']
Lincoln Rocha,UFC,31/6913,['se']
Linnyer Ruiz,UEM,76/825,"['ai', 'ds', 'net']"
Liria Sato,POLI/USP,94/109,"['data', 'ds']"
Lisandro Zambenedetti Granville,UFRGS,52/4475,"['net', 'security']"
Loana Tito Nogueira,UFF,79/4445,['or']
Loic Cerf,UFMG,43/3578,['data']
Lucas Francisco da Matta Vegi,UFV,32/10803,['se']
Lucas Schnorr,UFRGS,57/3743,['arch']
Lucas Wanner,UNICAMP,w/LucasFranciscoWanner,"['arch', 'hardware']"
Luci Pirmez,NCE/UFRJ,32/4359,['net']
Lucia Drummond,UFF,41/2824,"['arch', 'ds']"
Luciana Buriol,UFRGS,b/LucianaSBuriol,"['ai', 'or']"
Luciana Foss,UFPEL,24/37,['ai']
Luciana Lourdes Silva,IFMG,93/9384,['se']
Luciana Porcher Nedel,UFRGS,60/2597,"['chi', 'graphics']"
Luciana Rech,UFSC,30/3196,['arch']
Luciana Zaina,UFSCar,71/8694,"['chi', 'cse', 'graphics', 'net', 'se']"
Luciano Araujo,EACH/USP,97/6041,['graphics']
Luciano Barbosa,UFPE,80/468,"['ai', 'dbis']"
Luciano Gaspary,UFRGS,g/LPGaspary,"['graphics', 'net']"
Luciano Oliveira,UFBA,79/3141,['ai']
Luciano Silva,UFPR,69/2301,"['chi', 'data', 'graphics', 'vision']"
Lucidio Formiga Cabral,UFPB,92/2618,"['or', 'theory']"
Lucineia Heloisa Thom,UFRGS,29/181,"['dbis', 'se']"
Lucio Mauro Duarte,UFRGS,53/6206,['formal']
Luerbio Faria,UERJ,62/1933,"['or', 'theory']"
Luidi Simonetti,COPPE/UFRJ,24/7061,['or']
Luigi Carro,UFRGS,25/5214,"['arch', 'ds', 'hardware']"
Luis Antonio Kowada,UFF,54/4829,"['bio', 'theory']"
Luis Carlos De Bona,UFPR,78/3197,"['ds', 'net']"
Luis Gustavo Nonato,ICMC/USP,59/17,"['data', 'graphics', 'vision']"
Luis Henrique Costa,COPPE/UFRJ,51/7019,"['hardware', 'net']"
Luis Lamb,UFRGS,l/LCLamb,['ai']
Luis Marti Orosa,UFF,46/4895,['ai']
Luis Zarate,PUC Minas,05/1768,"['ai', 'data', 'vision']"
Luiz Andre Paes Leme,UFF,75/6273,['dbis']
Luiz Chaimowicz,UFMG,c/LuizChaimowicz,"['arch', 'net', 'robotics']"
Luiz Claudio Villar dos Santos,UFSC,121/4418,['hardware']
Luiz Eduardo Soares Oliveira,UFPR,o/LuizSOliveira,"['ai', 'data', 'security', 'vision']"
Luiz Fernando Bittencourt,UNICAMP,76/6740,"['arch', 'ds', 'ir', 'net']"
Luiz Filipe Vieira,UFMG,41/3075,"['net', 'or']"
Luiz Gonzaga,Unisinos,133/7509,"['arch', 'data', 'vision']"
Luiz Gustavo Leao Fernandes,PUC-RS,f/LuizGustavoFernandes,"['arch', 'ds']"
Luiz Henrique Merschmann,UFLA,80/1853,"['graphics', 'or']"
Luiz Henrique de Figueiredo,IMPA,92/7002,['graphics']
Luiz Marcos Goncalves,UFRN,90/6529,"['graphics', 'robotics']"
Luiz Satoru Ochi,UFF,o/LuizSatoruOchi,"['ai', 'data', 'graphics', 'net', 'or', 'theory']"
Luiza Mourelle,UERJ,20/999,"['ai', 'arch', 'graphics']"
Magnos Martinello,UFES,15/1775,['net']
Manoel Bezerra Campelo Neto,UFC,65/3124,"['or', 'theory']"
Manoel Mendonca,UFBA,m/ManoelGMendonca,['se']
Manoela Milena Oliveira da Silva,UFPE,140/9463,['chi']
Manuel Oliveira,UFRGS,o/MMOliveira,"['graphics', 'vision']"
Mara Abel,UFRGS,a/MaraAbel,"['ai', 'dbis']"
Marcel Oliveira,UFRN,15/2751,"['formal', 'se']"
Marcelle Mota,UFPA,182/3135,"['chi', 'graphics']"
Marcelo Albertini,UFU,61/6050,"['arch', 'data', 'ds', 'graphics']"
Marcelo Fantinato,EACH/USP,83/468,"['arch', 'data', 'dbis', 'se']"
Marcelo Finger,IME/USP,50/3312,['formal']
Marcelo Guimaraes,UNIFESP,94/7698,['graphics']
Marcelo Henriques Carvalho,UFMS,123/7718,['theory']
Marcelo Ladeira,UnB,40/407,['ai']
Marcelo Lobosco,UFJF,09/5624,['bio']
Marcelo Maia,UFU,97/4668,['se']
Marcelo Manzato,ICMC/USP,66/6266,"['ai', 'chi', 'data', 'graphics']"
Marcelo Marotta,UnB,122/5307,"['arch', 'net']"
Marcelo Medeiros Eler,EACH/USP,89/6957,"['chi', 'se']"
Marcelo Morandini,EACH/USP,67/2834,['se']
Marcelo Pimenta,UFRGS,p/MarceloSoaresPimenta,"['chi', 'se']"
Marcelo Schots,UERJ,08/9051,['se']
Marcelo Walter,UFRGS,79/1265,"['graphics', 'vision']"
Marcelo Zanchetta do Nascimento,UFU,22/5828,"['ai', 'bio', 'graphics']"
Marcelo d'Amorim,UFPE,16/608,['se']
Marcelo da Silva Reis,UNICAMP,130/1610,['ai']
Marcelo de Gomensoro Malheiros,FURG,37/4928,['graphics']
Marcia Fampa,COPPE/UFRJ,57/5836,"['or', 'theory']"
Marcia Rosana Cerioli,DCC/UFRJ,05/4738,['theory']
Marcio Barros,UNIRIO,36/2479,['se']
Marcio Basgalupp,UNIFESP,57/1607,"['ai', 'data']"
Marcio Castro,UFSC,39/6633,"['arch', 'ds']"
Marcio Costa Santos,UFMG,221/4211,['or']
Marcio Dorn,UFRGS,58/4634,"['ai', 'bio', 'data', 'ds']"
Marcio Ribeiro,UFAL,r/MarcioRibeiro,"['chi', 'ds', 'se']"
Marco Antonio Casanova,PUC-Rio,c/MarcoACasanova,['dbis']
Marco Antonio Moreira de Carvalho,UFOP,121/4773,['or']
Marco Antonio Zanata Alves,UFPR,47/7939,"['ai', 'arch', 'security']"
Marco Aurelio Wehrmeister,UTFPR,60/2173,['robotics']
Marco Cristo,UFAM,c/MarcoCristo,['se']
Marco Goldbarg,UFRN,g/MarcoCesarGoldbarg,['or']
Marco Graciotto Silva,UTFPR,26/693,['se']
Marco Molinaro,PUC-Rio,88/4732,"['data', 'or', 'theory', 'vision']"
Marco Tulio Valente,UFMG,o/MarcoTuliodeOliveiraValente,['se']
Marcone Souza,UFOP,26/4,"['ai', 'net', 'or']"
Marcos Andre Goncalves,UFMG,45/1395,"['ai', 'data', 'dbis', 'ir']"
Marcos Bueno,UFU,04/8380,['data']
Marcos Chaim,EACH/USP,82/201,"['graphics', 'se']"
Marcos Didonet Del Fabro,UFPR,15/5866,['dbis']
Marcos Kalinowski,PUC-Rio,38/3792,"['dbis', 'se']"
Marcos Lage,UFF,46/4560,"['arch', 'chi', 'graphics']"
Marcos Roberto Silva Borges,DCC/UFRJ,99/2500,['chi']
Marcos Seruffo,UFPA,233/8878,"['chi', 'net']"
Marcos Simplicio Jr,POLI/USP,79/2420,"['hardware', 'security']"
Marcos Vieira,UFMG,11/6979,"['ai', 'net', 'robotics']"
Marcus Poggi,PUC-Rio,63/4961,"['or', 'vision']"
Marcus Ritt,UFRGS,86/7006,"['ai', 'arch', 'or']"
Maria Andreia Rodrigues,UNIFOR,56/6060,['graphics']
Maria Camila Barioni,UFU,37/2450,['dbis']
Maria Cecilia Baranauskas,UNICAMP,b/MCCBaranauskas,['chi']
Maria Claudia Boeres,UFES,31/2757,"['ai', 'vision']"
Maria Clicia Castro,UERJ,27/2301,['arch']
Maria Cristina Ferreira Oliveira,ICMC/USP,57/1706,"['ai', 'chi']"
Maria Emilia Telles Walter,UnB,84/2668,['bio']
Maria Nascimento,UNIFESP,94/7230,"['ai', 'net', 'or']"
Maria do Carmo Nicoletti,UFSCar,65/4419,['ai']
Mariana Kolberg,UFRGS,99/6576,['robotics']
Mariana Recamonde Mendoza,UFRGS,81/9882,"['ai', 'bio']"
Marilia Mendes,UFC,91/5328,['chi']
Marilton Aguiar,UFPEL,02/284,"['bio', 'hardware']"
Marinho Barcellos,UFRGS,b/MarinhoPBarcellos,['net']
Mario Antonio Ribeiro Dantas,UFJF,d/MarioARDantas,"['arch', 'ds', 'robotics']"
Mario Benevides,DCC/UFRJ,29/5198,['formal']
Mario Fernando Montenegro Campos,UFMG,70/4227,"['robotics', 'vision']"
Mario Lemes Proenca,UEL,46/6747,"['ai', 'arch', 'net']"
Mario Sergio Alvim,UFMG,84/8371,"['data', 'dbis', 'formal', 'security', 'theory']"
Maristela Holanda,UnB,20/1662,"['arch', 'cse', 'dbis']"
Maristela Santos,ICMC/USP,50/8057,"['ai', 'or']"
Mariza Bigonha,UFMG,91/739,['se']
Mariza Ferro,LNCC,09/10314,"['arch', 'ds']"
Markus Endler,PUC-Rio,e/MarkusEndler,"['data', 'net']"
Marley Vellasco,PUC-Rio,v/MMBRVellasco,"['ai', 'bio', 'chi']"
Marlo Souza,UFBA,16/11062,['formal']
Marta Mattoso,COPPE/UFRJ,m/MartaLQueirosMattoso,"['arch', 'ds']"
Martin Gomez Ravetti,UFMG,39/2799,['or']
Martin Musicante,UFRN,72/5025,"['dbis', 'formal']"
Mauricio Ayala Rincon,UnB,56/538,"['ai', 'formal']"
Mauricio Pilla,UFPEL,06/5321,"['ai', 'ds']"
Mauro Fonseca,UTFPR,37/786,"['ai', 'net', 'security']"
Maycon Peixoto,UFBA,94/4865,"['arch', 'net', 'theory']"
Mayron Cesar Moreira,UFLA,15/7999,['or']
Michel Albonico,UTFPR,119/5096,['se']
Michel Melo Silva,UFV,185/7877,['vision']
Michele Nogueira,UFMG,22/4022,['net']
Michelle Wangham,UNIVALI,82/6811,['net']
Miguel Campista,COPPE/UFRJ,02/4935,"['ai', 'arch', 'hardware', 'net']"
Miguel Castro,UFC,37/3973,"['ai', 'net']"
Milene Silveira,PUC-RS,38/1199,"['chi', 'cse']"
Milton Brown do Coutto Filho,UFF,184/9663,['arch']
Mirella Moro,UFMG,m/MirellaMouraMoro,"['dbis', 'ir', 'se']"
Mitre Costa Dourado,DCC/UFRJ,51/4736,"['or', 'theory']"
Moacir Ponti,ICMC/USP,69/5836,"['ai', 'data', 'graphics', 'vision']"
Moises Ribeiro,UFES,20/1896,"['arch', 'net', 'robotics']"
Monalessa Barcellos,UFES,97/7540,"['dbis', 'se']"
Murilo Naldi,UFSCar,07/3376,['dbis']
Murilo Vicente Goncalves da Silva,UFPR,15/376,"['ai', 'data', 'theory']"
Myriam Delgado,UTFPR,80/3289,"['ai', 'or']"
Nabor Mendonca,UNIFOR,79/4708,"['cse', 'se']"
Nadia Nedjah,UERJ,n/NadiaNedjah,"['ai', 'arch', 'ds', 'graphics']"
Nazareno Andrade,UFCG,14/1054,"['chi', 'graphics']"
Nelio Cacho,UFRN,39/2172,"['ai', 'arch', 'ds']"
Nelson Fonseca,UNICAMP,f/NelsonLSdaFonseca,"['graphics', 'net', 'or']"
Nelson Maculan,COPPE/UFRJ,94/4688,['or']
Nelson Mascarenhas,UFSCar,41/2902,['vision']
Nelson Rosa,UFPE,r/NelsonSoutoRosa,['ai']
Newton Spolaor,UNIOESTE,48/9358,"['ai', 'graphics']"
Nina Hirata,IME/USP,62/2188,['graphics']
Nivan Ferreira,UFPE,96/10398,"['ai', 'graphics']"
Noemi Rodriguez,PUC-Rio,95/2066,"['arch', 'pl']"
Olga Bellon,UFPR,26/3892,['graphics']
Olga Goussevskaia,UFMG,53/238,"['arch', 'ds', 'net']"
Orlando Lee,UNICAMP,24/3858,['theory']
Otavio Lemos,UNIFESP,80/3784,['se']
Otto Carlos Duarte,COPPE/UFRJ,18/2077,['ds']
Paola Accioly,UFCA,53/7000,['se']
Paolo Rech,UFRGS,64/5340,"['arch', 'ds', 'hardware', 'security']"
Patricia Della Mea Plentz,UFSC,83/1063,['ds']
Patricia Matsubara,UFMS,249/1704,['se']
Paulo Adeodato,UFPE,15/5054,['ai']
Paulo Antonio Leal Rego,UFC,67/10788,['vision']
Paulo Borba,UFPE,b/PauloBorba,['se']
Paulo Butzen,FURG,93/5285,['hardware']
Paulo Henrique Pisani,UFABC,30/9527,['vision']
Paulo Licio de Geus,UNICAMP,79/4220,['security']
Paulo Lilles Jorge Drews Junior,FURG,76/7747,"['graphics', 'robotics', 'vision']"
Paulo Maciel,UFPE,m/PRMartinsMaciel,"['ai', 'arch', 'ds', 'or', 'se', 'security']"
Paulo Mattos Neto,UFPE,21/8284,"['ai', 'arch', 'data', 'vision']"
Paulo Meirelles,IME/USP,37/5038,['se']
Paulo Miranda,IME/USP,21/5570,['vision']
Paulo Pires,DCC/UFRJ,69/1904,"['ds', 'ir', 'net']"
Paulo Roberto Ferreira Junior,UFPEL,222/3501,['robotics']
Paulo Roberto Oliveira,COPPE/UFRJ,02/9919,['or']
Paulo Santos,FEI,33/5229,"['ai', 'formal']"
Paulo Sergio Lopes de Souza,ICMC/USP,96/5652,"['arch', 'ds', 'net', 'se']"
Pedro Frosi,UFU,25/6464,['net']
Pedro Henrique Bugatti,UTFPR,13/4202,"['bio', 'graphics']"
Pedro Jussieu de Rezende,UNICAMP,41/3473,"['data', 'or', 'theory']"
Pedro Olmo,UFMG,28/3311,"['ai', 'data', 'graphics', 'ir', 'net']"
Pedro Santos Neto,UFPI,23/3085,['se']
Pedro de Botelho Marcos,FURG,99/7415,['net']
Petrucio Viana,UFF,00/10258,['ai']
Philippe Navaux,UFRGS,74/1262,"['arch', 'ds', 'security']"
Priscila Saito,UFSCar,129/2351,"['bio', 'graphics']"
Priscila Solis,UnB,85/5282,['net']
Puca Huachi Penna,UFOP,25/11483,['or']
Rafael Bordini,PUC-RS,b/RafaelHBordini,"['ai', 'chi', 'theory']"
Rafael Dias Araujo,UFU,123/7849,['ai']
Rafael Ferreira Mello,UFRPE,205/0582,['ai']
Rafael Kunst,Unisinos,92/10324,"['ai', 'net', 'robotics']"
Rafael Lins,UFPE,44/4611,['ai']
Rafael Lopes Gomes,UECE,129/0936,['net']
Rafael Maiani de Mello,DCC/UFRJ,121/2507,['se']
Rafael Melo,UFBA,78/7608,"['ai', 'data', 'or']"
Rafael Pasquini,UFU,70/2771,['net']
Rafael Prikladnicki,PUC-RS,39/5605,['se']
Rafael Rossi,UFMS,82/10167,"['ai', 'data', 'se', 'vision']"
Rafael Schouery,UNICAMP,196/0126,"['or', 'theory']"
Rafael Torchelsen,UFPEL,25/7609,['graphics']
Rafael de Santiago,UFSC,79/8300,['ai']
Rafael de Sousa Junior,UnB,s/RTdeSousaJ,"['net', 'security']"
Raphael Camargo,UFABC,31/4450,"['arch', 'ds']"
Raphael Carlos Machado,INMETRO,83/1163,['theory']
Raphael Pereira de Oliveira,IFS,75/7435,['se']
Raquel Minardi,UFMG,26/8886,['bio']
Raquel Prates,UFMG,51/3637,['chi']
Regina Braga,UFJF,32/9021,"['ds', 'se']"
Regivan Santiago,UFRN,36/2941,"['ai', 'data']"
Reinaldo Bianchi,FEI,40/169,"['ai', 'net', 'robotics']"
Renan Maffei,UFRGS,139/3519,['robotics']
Renata Fortes,ICMC/USP,48/6369,['se']
Renata Galante,UFRGS,37/2418,['ir']
Renata Guizzardi,UFES,75/5043,"['dbis', 'se']"
Renata Maria de Souza,UFPE,18/6809,"['ai', 'data', 'se', 'vision']"
Renata Reiser,UFPEL,61/2221,['ai']
Renata Vieira,PUC-RS,05/465,"['ai', 'bio', 'formal']"
Renato Assuncao,UFMG,130/0513,"['ai', 'data', 'graphics', 'ir', 'robotics']"
Renato Carmo,UFPR,64/3603,['theory']
Renato Ferreira,UFMG,f/RACFerreira,"['arch', 'chi']"
Renato Fileto,UFSC,35/2350,"['ai', 'dbis']"
Renato Krohling,UFES,15/931,"['ai', 'graphics', 'or']"
Renato Perez Ribas,UFRGS,75/4916,['hardware']
Renato Portugal,LNCC,28/6950,['theory']
Renato Tinos,FFCLRP/USP,86/3910,['ai']
Renato Vimieiro,UFMG,02/1965,['data']
Rian Gabriel Santos Pinheiro,UFAL,139/1019,"['ai', 'or', 'theory']"
Ricardo Cerri,UFSCar,94/7227,"['ai', 'data']"
Ricardo Custodio,UFSC,95/6830,['dbis']
Ricardo Fabbri,UERJ,74/6892,['vision']
Ricardo Ferreira,UFV,12/10030,"['arch', 'ds', 'hardware']"
Ricardo Jacobi,UnB,06/5774,['graphics']
Ricardo Jose Ferrari,UFSCar,163/8283,['ai']
Ricardo Marcacini,UFMS,69/8767,"['ai', 'data', 'se', 'vision']"
Ricardo Marroquim,COPPE/UFRJ,41/5501,"['graphics', 'vision']"
Ricardo Martins de Abreu Silva,UFPE,33/1137-1,['ai']
Ricardo Massa Ferreira Lima,UFPE,34/3170,['security']
Ricardo Prudencio,UFPE,76/1124,['ai']
Ricardo Reis,UFRGS,r/RAdaLuzReis,['hardware']
Ricardo Rios,UFBA,33/11459,"['ai', 'graphics', 'net', 'vision']"
Ricardo Rodrigues Ciferri,UFSCar,58/1079,['dbis']
Ricardo Silveira,UFSC,48/5786,['ai']
Ricardo Terra,UFLA,23/5199,['se']
Ricardo Torres,UNICAMP,s/RicardodaSilvaTorres,"['data', 'ds', 'graphics', 'net', 'se', 'vision']"
Ricardo de Almeida Falbo,UFES,229/4259,"['dbis', 'se']"
Richard Goncalves,UNICENTRO,53/4018,['ai']
Rita Suzana Pitangueira Maciel,UFBA,11/2049,['se']
Roberta Coelho,UFRN,61/561,['se']
Roberto Bittencourt,UEFS,75/3180,['cse']
Roberto Celio Limao de Oliveira,FCT/UFPA,69/3899,"['ai', 'net']"
Roberto Cesar Junior,IME/USP,c/RobertoMarcondesCesarJunior,"['graphics', 'robotics', 'vision']"
Roberto Hirata,IME/USP,94/4977,"['ai', 'vision']"
Roberto Ierusalimschy,PUC-Rio,90/4557,['pl']
Roberto Imbuzeiro Oliveira,IMPA,51/934,"['ai', 'data', 'or']"
Roberto Inoue,UFSCar,28/8719,['robotics']
Roberto Lotufo,FEEC/UNICAMP,42/168,['ai']
Roberto Pereira,UFPR,233/8441,"['chi', 'se']"
Roberto Souto Barros,UFPE,34/906,"['ai', 'data', 'ds']"
Robson Cordeiro,ICMC/USP,84/5092,"['ai', 'dbis', 'ir']"
Robson do Nascimento Fidalgo,UFPE,09/546,"['ai', 'dbis', 'se']"
Rodolfo Azevedo,UNICAMP,73/1601,['arch']
Rodolfo Stoffel Antunes,Unisinos,10/3873,"['ai', 'arch', 'data', 'net', 'vision']"
Rodolfo Villaca,UFES,31/1899,"['arch', 'net']"
Rodrigo Barros,PUC-RS,33/1197,"['ai', 'vision']"
Rodrigo Bonifacio,UnB,21/824,"['pl', 'se']"
Rodrigo Duran,IFMS,201/4491,"['cse', 'se']"
Rodrigo Geraldo Ribeiro,UFOP,204/6610,['pl']
Rodrigo Machado,UFRGS,33/4758,['formal']
Rodrigo Mello,ICMC/USP,81/6146,"['ai', 'data']"
Rodrigo Minetto,UTFPR,00/1588,['dbis']
Rodrigo Pereira dos Santos,UNIRIO,57/7989,"['ai', 'cse', 'se']"
Rodrigo Righi,Unisinos,33/4917,"['ai', 'arch', 'data', 'net', 'vision']"
Rodrigo Sanches Miani,UFU,19/7303,['security']
Rodrigo de Bem,FURG,238/2724,['vision']
Rodrigo de Souza Couto,COPPE/UFRJ,152/6069,"['ai', 'net']"
Rodrygo Santos,UFMG,36/1247,"['ai', 'chi', 'data', 'ir']"
Rogerio Eduardo Garcia,UNESP,79/2878,"['cse', 'graphics', 'se']"
Rohit Gheyi,UFCG,10/3240,['se']
Ronaldo Correia,UNESP,24/7636,['cse']
Ronaldo Ferreira,UFMS,63/3999,"['net', 'security']"
Ronaldo Prati,UFABC,34/586,"['ai', 'data']"
Ronaldo dos Santos Mello,UFSC,82/6647,"['data', 'dbis']"
Ronei Moraes,UFPB,38/4949,['ai']
Ronnie Alves,UFPA,83/953,"['ai', 'bio', 'data']"
Rosa Leao,COPPE/UFRJ,l/RosaMMLeao,['net']
Rosana Braga,ICMC/USP,07/4304,"['cse', 'se']"
Rosane Minghim,ICMC/USP,61/4784,['ai']
Roseli Francelin Romero,ICMC/USP,46/3833,['robotics']
Rosiane de Freitas,UFAM,47/7842,"['data', 'or', 'theory']"
Rossana Andrade,UFC,61/6138,"['chi', 'se']"
