researcher,institution,pid,sub_areas
Andreia Malucelli,PUCPR,82/191,"['chi', 'se']"
Andrey Brito,UFCG,25/4955,"['arch', 'data', 'ds']"
Andrey Pimentel,UFPR,70/2041,['se']
Anelise Munaretto,UTFPR,09/2276,"['ai', 'robotics']"
Anisio Lacerda,UFMG,90/844,['data']
Anna Costa,POLI/USP,r/AnnaHelenaRealiCosta,"['ai', 'ir']"
Anne Canuto,UFRN,c/AnneMPCanuto,"['ai', 'data']"
Anselmo Cardoso de Paiva,UFMA,p/AnselmoCardosodePaiva,"['ai', 'graphics', 'vision']"
Anselmo Montenegro,UFF,21/6489,['graphics']
Antonio Abelem,UFPA,16/7815,['net']
Antonio Alfredo Ferreira Loureiro,UFMG,l/AntonioAlfredoFerreiraLoureiro,"['data', 'ds', 'net']"
Antonio Apolinario,UFBA,117/8406,['graphics']
Antonio Augusto Medeiros Frohlich,UFSC,43/6521,"['arch', 'hardware', 'security', 'vision']"
Antonio Augusto de Aragao Rocha,UFF,209/2422,"['arch', 'data']"
Antonio Carlos Schneider Beck,UFRGS,02/7021,"['arch', 'ds', 'hardware']"
Antonio Sementille,UNESP,86/1502,['graphics']
Antonio Tadeu Gomes,LNCC,96/1748,['arch']
Aparecido Marana,UNESP,36/1416,"['ai', 'graphics']"
Arilo Dias Neto,UFAM,27/11253,['se']
Arnaldo Araujo,UFMG,a/ArnaldodeAlbuquerqueAraujo,"['graphics', 'vision']"
Arthur Francisco Lorenzon,UFRGS,160/4663,"['arch', 'ds', 'hardware', 'net']"
Artur Ziviani,LNCC,47/772,"['data', 'net']"
Asla Medeiros,FGV,33/5048,['graphics']
Augusto Jose Venancio Neto,UFRN,88/6376,"['ds', 'net']"
Augusto Sampaio,UFPE,s/AugustoSampaio,"['formal', 'se']"
Auri Vincenzi,UFSCar,05/4141,"['ds', 'se']"
Aurora Pozo,UFPR,p/AuroraPozo,"['ai', 'bio', 'data', 'theory']"
Avelino Zorzo,PUC-RS,z/AvelinoFZorzo,['se']
Awdren Fontao,UFMS,168/6211,['se']
Baldoino Fonseca,UFAL,22/7095,"['chi', 'se']"
Benjamin Bedregal,UFRN,32/3731,"['ai', 'data']"
Bernardo Pereira Nunes,PUC-Rio,08/10894,['ir']
Berthier Ribeiro,UFMG,r/BerthierARibeiroNeto,['ai']
Bianchi Meiguins,UFPA,30/3961,['graphics']
Breno Bernard Nicolau de Franca,UNICAMP,122/4837,"['net', 'se']"
Breno Miranda,UFPE,119/0420,['se']
Bruno Cafeo,UNICAMP,46/10082,['se']
Bruno Cartaxo,IFPE,144/8274,"['ai', 'se']"
Bruno Castro da Silva,UFRGS,75/3139,"['ai', 'data']"
Bruno Costa e Silva Nogueira,UFAL,26/440,"['ai', 'arch', 'ds', 'or']"
Bruno Feijo,PUC-Rio,36/3530,['se']
Bruno Gadelha,UFAM,77/7361,['se']
Bruno Jefferson Pessoa,UFPB,128/5727,['or']
Bruno Kimura,UNIFESP,36/804,"['graphics', 'net']"
Bruno Lopes Dalmazo,FURG,50/8505,['ai']
Bruno Nogueira,UFMS,73/991,"['ai', 'data', 'se']"
Bruno Petrato Bruck,UFPB,117/4692,['or']
Bruno Queiroz Pinto,IFTM,225/5123,['or']
Bruno Schulze,LNCC,27/729,"['arch', 'ds']"
Bruno Souza,UFMA,60/29,['data']
Bruno Travencolo,UFU,63/5088,"['ai', 'bio', 'graphics', 'vision']"
Bruno Zatt,UFPEL,33/2753,"['graphics', 'hardware', 'vision']"
Caetano Traina,ICMC/USP,t/CaetanoTrainaJr,['graphics']
Camilo Almendra,UFC,252/8867,['se']
Carina Dorneles,UFSC,74/2312,['ir']
Carina Frota Alves,UFPE,93/9961,['se']
Carla Delgado,DCC/UFRJ,51/3466,['ai']
Carla Freitas,UFRGS,f/CarlaMDSFreitas,"['chi', 'graphics', 'se']"
Carla Osthoff,LNCC,76/6443,"['arch', 'ds']"
Carla Taciana,UFPE,06/4462,['se']
Carla Westphall,UFSC,w/CarlaMerkleWestphall,['net']
Carlos Alberto Vieira Campos,UNIRIO,83/4679,['net']
Carlos Alexandre Barros de Mello,UFPE,48/6569,['ai']
Carlos Becker Westphall,UFSC,b/CarlosBeckerWestphall,['net']
Carlos Eduardo Santos Pires,UFCG,59/4336,"['arch', 'dbis', 'ir']"
Carlos Eduardo da Silva,UFRN,78/7056,['se']
Carlos Ferraz,UFPE,31/2870,['ds']
Carlos Kamienski,UFABC,74/2714,"['ai', 'net']"
Carlos Lima,UFCA,137/5112,"['or', 'theory']"
Carlos Lucena,PUC-Rio,l/CarlosJosePereiradeLucena,['se']
Carlos Maziero,UFPR,m/CarlosMaziero,['net']
Carlos Olarte,UFRN,o/CarlosOlarte,['formal']
Carlos Silla,PUCPR,38/3598,"['ai', 'data', 'graphics']"
Carmem Hara,UFPR,26/3914,['dbis']
Cassio Prazeres,UFBA,06/710,"['arch', 'ds', 'net']"
Celia Ralha,UnB,09/2442,"['ai', 'arch', 'net']"
Celina de Figueiredo,COPPE/UFRJ,09/5415,"['or', 'theory']"
Celio Vinicius Neves de Albuquerque,UFF,40/809,"['graphics', 'net', 'security']"
Celso Massaki Hirata,ITA,h/CelsoMassakiHirata,['arch']
Celso Ribeiro,UFF,26/4167,"['data', 'or']"
Celso Saibel Santos,UFES,s/CelsoAlbertoSaibelSantos,"['chi', 'graphics']"
Cesar Augusto Fonticielha De Rose,PUC-RS,95/5199,"['arch', 'dbis', 'ds']"
Cesar Augusto Marcon,PUC-RS,13/6510,"['arch', 'hardware', 'net', 'vision']"
Cesar Comin,UFSCar,85/10263,['vision']
Cesar Lincoln Mattos,UFC,150/2808,"['ai', 'data', 'se']"
Cesar Tacla,UTFPR,75/4008,['formal']
Christian Rothenberg,FEEC/UNICAMP,70/2654,['net']
Christiane Neme Campos,UNICAMP,65/1977,"['or', 'theory']"
Christiane von Wangenheim,UFSC,w/ChristianeGressevonWangenheim,"['chi', 'cse']"
Cid Carvalho de Souza,UNICAMP,42/819,['or']
Claudia Bauzer Medeiros,UNICAMP,m/CBMedeiros,['chi']
Claudia Cappelli,UNIRIO,20/5813,['dbis']
Claudia Linhares Sales,UFC,08/5881,['theory']
Claudia Nalon,UnB,61/6528,['formal']
Claudine Badue,UFES,12/97,"['ai', 'graphics', 'vision']"
Claudio Amorim,COPPE/UFRJ,05/439,['net']
Claudio Esperanca,COPPE/UFRJ,68/813,['graphics']
Claudio Jung,UFRGS,07/5754,"['graphics', 'vision']"
Claudio Toledo,ICMC/USP,07/5259,"['ai', 'or']"
Claudio de Souza Baptista,UFCG,b/ClaudiodeSouzaBaptista,['ai']
Claudomiro Sales,UFPA,181/6614,"['ai', 'security']"
Claudson Bornstein,DCC/UFRJ,93/6594,['theory']
Cleber Zanchettin,UFPE,75/5629,"['ai', 'security', 'vision']"
Cleidson Souza,UFPA,29/7640,"['chi', 'se']"
Clodoveu Davis,UFMG,d/ClodoveuADavis,['or']
Creto Vidal,UFC,85/3970,['graphics']
Cristian Cechinel,UFPEL,50/8769,"['ai', 'arch']"
Cristiana Bentes,UERJ,b/CristianaBentes,"['arch', 'ds']"
Cristiano Arbex Valle,UFMG,21/2276,['or']
Cristiano Bonato Both,Unisinos,07/2040,['net']
Cristiano Costa,Unisinos,14/3505,"['ai', 'arch', 'data', 'net', 'vision']"
Cristiano Maciel da Silva,UFSJ,147/1083,"['ai', 'graphics']"
Cristiano Maciel,UFMT,62/5474,['chi']
Cristina Boeres,UFF,89/6061,"['arch', 'ds']"
Cristina Ciferri,ICMC/USP,13/4069,"['data', 'dbis', 'ds']"
Cristina Fernandes,IME/USP,58/4840,"['or', 'theory']"
Cristina Meinhardt,FURG,38/1116,['hardware']
Cristina Nader Vasconcelos,UFF,37/135,"['data', 'graphics', 'vision']"
Dalvan Griebler,PUC-RS,135/0603,"['arch', 'ds']"
Daniel Batista,IME/USP,20/833,['net']
Daniel Carlos Guimaraes Pedronette,UNESP,49/1183,"['ai', 'data', 'ds', 'graphics', 'ir', 'vision']"
Daniel Carvalho da Cunha,UFPE,203/8737,['net']
Daniel Cordeiro,EACH/USP,50/6986,"['arch', 'ds']"
Daniel Fernandes Macedo,UFMG,74/2460,['net']
Daniel Figueiredo,COPPE/UFRJ,46/4473,"['data', 'theory']"
Daniel Fireman,IFAL,45/6617,"['arch', 'ds']"
Daniel Guidoni,UFSJ,86/4704,"['ai', 'net']"
Daniel Kaster,UEL,k/DanielSKaster,['dbis']
Daniel Lucredio,UFSCar,74/3613,"['dbis', 'se']"
Daniel Menasche,DCC/UFRJ,44/4915,"['ai', 'ds', 'net', 'security']"
Daniel Osaku,UFSCar,77/10105,['vision']
Daniel Schwabe,PUC-Rio,s/DanielSchwabe,['bio']
Daniel Weingaertner,UFPR,94/5519,['ai']
Daniel de Oliveira,UFF,68/7553-1,"['ai', 'arch', 'dbis', 'ds', 'graphics']"
Daniela Trevisan,UFF,t/DanielaGorskiTrevisan,"['chi', 'graphics']"
Danilo Barbosa Coimbra,UFBA,11/9477,"['graphics', 'theory']"
Danilo Sanches,UTFPR,202/9057,"['ai', 'bio']"
Dario Aloise,UERN,80/297,['or']
Davi Viana,UFMA,117/5583,"['ai', 'cse', 'graphics', 'se']"
David Menotti,UFPR,10/2834,"['ai', 'graphics', 'security', 'vision']"
Debora Maria Barroso Paiva,UFMS,11/6879,['se']
Debora Muchaluat Saade,UFF,21/5891,"['graphics', 'net']"
Denilson Pereira,UFLA,156/4573,['ai']
Denis Fernando Wolf,ICMC/USP,97/3033,"['ai', 'robotics']"
Denis Maua,IME/USP,53/10263,['ai']
Denis Rosario,UFPA,61/7821,['net']
Diana Adamatti,FURG,87/4374,['theory']
Diana Sasaki Nobrega,UERJ,03/9926,"['or', 'theory']"
Diego Amancio,ICMC/USP,72/10670,"['ai', 'data']"
Diego Dermeval,UFAL,50/365,['ai']
Diego Gimenez Passos,UFF,47/4581,"['graphics', 'net', 'security']"
Diego Mesquita,FGV,163/4293,"['ai', 'data', 'se']"
Diego Silva,ICMC/USP,124/2376,"['ai', 'data']"
Dilson Lucas Pereira,UFLA,80/4607,['or']
Divanilson Campelo,UFPE,76/5873,"['arch', 'net']"
Djamel Sadok,UFPE,s/DjamelSadok,"['ai', 'arch', 'ds', 'graphics', 'net', 'robotics']"
Dorgival Guedes,UFMG,n/DorgivalOlavoGuedesNeto,['arch']
Douglas Guimaraes Macharet,UFMG,23/7609,"['net', 'robotics', 'vision']"
Douglas Rodrigues,UFSCar,43/10170,['ai']
Ecivaldo de Souza Matos,UFBA,78/3190,['chi']
Edison Pignaton de Freitas,UFRGS,96/3201,"['ai', 'net', 'robotics']"
Edleno de Moura,UFAM,m/EdlenoSilvadeMoura,"['data', 'ir']"
Edmundo Madeira,UNICAMP,m/EdmundoRobertoMauroMadeira,"['arch', 'ds', 'net']"
Edmundo de Souza e Silva,COPPE/UFRJ,96/5137,['net']
Edna Dias Canedo,UnB,118/8796,"['chi', 'se']"
Edson Borin,UNICAMP,55/608,"['ai', 'arch', 'ds', 'graphics']"
Edson Caceres,UFMS,c/EdsonCaceres,['arch']
Edson Matsubara,UFMS,66/2176,['ai']
Edson OliveiraJr,UEM,04/2051,['se']
Edson Prestes e Silva,UFRGS,38/4107,['robotics']
Eduardo Alchieri,UnB,06/2528,"['arch', 'ds', 'net']"
Eduardo Almeida,UFBA,a/EduardoSantanadeAlmeida,['se']
Eduardo Antonio Guimaraes Tavares,UFPE,t/EduardoTavares,"['arch', 'ds', 'or']"
Eduardo Aranha,UFRN,31/1490,['net']
Eduardo Candido Xavier,UNICAMP,00/4728,"['or', 'theory']"
Eduardo Cerqueira,FCT/UFPA,18/4139,['net']
Eduardo Cunha de Almeida,UFPR,53/2190,"['arch', 'dbis', 'ir']"
Eduardo Feitosa,UFAM,37/8061,"['ai', 'security']"
Eduardo Figueiredo,UFMG,03/335,"['ds', 'se']"
Eduardo Gastal,UFRGS,71/8697,"['graphics', 'vision']"
Eduardo Nakamura,UFAM,86/0,['bio']
Eduardo Nunes Borges,FURG,33/4798,['ai']
Eduardo Ogasawara,CEFET-RJ,24/788,"['ai', 'se']"
Eduardo Sany Laber,PUC-Rio,49/5557,"['ai', 'data', 'theory', 'vision']"
Eduardo Souto,UFAM,84/1320,"['ai', 'security']"
Eduardo Todt,UFPR,91/2657,['robotics']
Edward Hermann Haeusler,PUC-Rio,93/6371,['formal']
Edward Moreno,UFS,m/EdwardDMoreno,['ds']
Eiji Adachi Barbosa,IMD/UFRN,47/10086,['se']
Elaine Oliveira,UFAM,193/1016,"['ai', 'chi', 'cse', 'se']"
Elaine Pimentel,UFRN,53/5809,['formal']
Elaine Ribeiro de Faria,UFU,79/1997,"['ai', 'graphics', 'security']"
Eliane Pozzebon,UFSC,57/4546,['data']
