authors_country,count,percentage,position
US,6224,18.78262968886743,1
PT,2708,8.172133868485378,2
ES,1986,5.993300540181671,3
GB,1748,5.275070163261611,4
FR,1689,5.097021456378067,5
IT,1430,4.315417810906238,6
DE,1410,4.255062317047409,7
CA,1333,4.02269366569092,8
CN,1070,3.229018921447325,9
IN,718,2.166762229531943,10
