rank,country,total_publications,citation_count,ratio
1,CN,456398,4483598,9.82
2,US,259058,3522174,13.6
3,ID,209773,502339,2.39
4,IN,171654,1091156,6.36
5,GB,74736,1120605,14.99
6,DE,68944,772964,11.21
7,JP,53750,337673,6.28
8,RU,53498,167520,3.13
9,CA,46340,617839,13.33
10,FR,45838,376572,8.22
11,KR,45007,515662,11.46
12,BR,44010,185530,4.22
13,IT,41355,414306,10.02
14,ES,39679,394249,9.94
15,AU,38121,752481,19.74
